"Metacritic";"VariantCount";"Steam1";"Steam2";"Steam3";"Steam4";"Steam5";"Steam6";"Steam7";"Steam8";"Steam9";"Steam10"
"Yin Yang / X-Change 3 Bundle Pack";"0";;;;;;;;;;
"YF-22 ADF";"0";;;;;;;;;;
"Yeti Adventure";"1";"Sonic Adventure DX";;;;;;;;;
"Yet, I despise him";"0";;;;;;;;;;
"Yes Chefica";"0";;;;;;;;;;
"Yard Sale Junkie";"0";;;;;;;;;;
"Yard Sale Hidden Treasures: Sunnyville";"0";;;;;;;;;;
"Yard Sale Hidden Treasures: Lucky Junction";"0";;;;;;;;;;
"Yamaha Supercross";"0";;;;;;;;;;
"Yahtzee";"0";;;;;;;;;;
"Y2K: The Game";"1";"D: The Game";;;;;;;;;
"Xtreme Air Racing";"0";;;;;;;;;;
"Xtraction";"0";;;;;;;;;;
"Xsyon";"0";;;;;;;;;;
"XS";"0";;;;;;;;;;
"Xotic: Warp Field Expansion Pack";"0";;;;;;;;;;
"Xotic: Temple Crypt Expansion Pack";"0";;;;;;;;;;
"Xotic: Pipe Works Expansion Pack";"0";;;;;;;;;;
"Xotic: Pipe Works Expansion Pack";"0";;;;;;;;;;
"XorceD: Sashiro's Laedrum";"0";;;;;;;;;;
"Xonotic";"0";;;;;;;;;;
"XNemesis SandBox";"0";;;;;;;;;;
"XMODULE";"0";;;;;;;;;;
"Xmas Zombie Rampage";"0";;;;;;;;;;
"Xmas Bonus";"0";;;;;;;;;;
"Xing Chess";"0";;;;;;;;;;
"XIII Lost Identity";"0";;;;;;;;;;
"XIII Century: Gold Edition";"1";"XIII Century – Gold Edition";;;;;;;;;
"XIII Century: Death or Glory";"0";;;;;;;;;;
"XIII Century: Blood of Europe";"0";;;;;;;;;;
"XIII";"0";;;;;;;;;;
"Xeodrifter";"1";"Xeodrifter™";;;;;;;;;
"Xenus II: White Gold";"1";"Xenus 2. White gold.";;;;;;;;;
"Xenus 2: White Gold";"1";"Xenus 2. White gold.";;;;;;;;;
"XenoShyft";"0";;;;;;;;;;
"Xenoraid";"1";"ONRAID";;;;;;;;;
"Xenon Valkyrie";"0";;;;;;;;;;
"Xemo: Robot Simulation";"1";"MicroRC Simulation";;;;;;;;;
"XCVB";"0";;;;;;;;;;
"XCOM: Enemy Within";"0";;;;;;;;;;
"XCOM: Enemy Unknown - The Complete Edition";"0";;;;;;;;;;
"XCOM: Enemy Unknown - Slingshot";"0";;;;;;;;;;
"XCOM: Enemy Unknown - Second Wave";"0";;;;;;;;;;
"XCOM 2: Shen's Last Gift";"0";;;;;;;;;;
"XCOM 2 - Alien Hunters";"0";;;;;;;;;;
"XCOM 2";"1";"XCOM® 2";;;;;;;;;
"XCar: Experimental Racing";"0";;;;;;;;;;
"Xango Tango";"0";;;;;;;;;;
"X3: Albion Prelude";"2";"ORION: Prelude";"Xsyon - Prelude";;;;;;;;
"X3 Gold";"0";;;;;;;;;;
"X2: Wolverine's Revenge";"0";;;;;;;;;;
"X-Wing vs. TIE Fighter: Balance of Power";"1";"STAR WARS™ X-Wing vs TIE Fighter - Balance of Power Campaigns™";;;;;;;;;
"X-Wing Collector's Series";"0";;;;;;;;;;
"X-Tension";"2";"X: Tension";"Huenison";;;;;;;;
"X-Superbox Bundle";"0";;;;;;;;;;
"X-Plane 8";"0";;;;;;;;;;
"X-Plane";"0";;;;;;;;;;
"X-Men: The Ravages of Apocalypse";"0";;;;;;;;;;
"X-Men: The Official Game";"0";;;;;;;;;;
"X-Men: Children of the Atom";"0";;;;;;;;;;
"X-Men Origins: Wolverine";"0";;;;;;;;;;
"X-Men Legends II: Rise of Apocalypse";"0";;;;;;;;;;
"X-COM: First Alien Invasion";"0";;;;;;;;;;
"X-COM: Collector's Edition";"3";"Nearwood - Collector's Edition";"Hotel Collectors Edition";"The Last Door - Collector's Edition";;;;;;;
"X-Change 3";"0";;;;;;;;;;
"X-Change 2";"0";;;;;;;;;;
"X-Change";"0";;;;;;;;;;
"Wyvern";"0";;;;;;;;;;
"Wyatt Derp 2: Peacekeeper";"0";;;;;;;;;;
"Wyatt Derp";"0";;;;;;;;;;
"WWII: GC";"0";;;;;;;;;;
"WWII: Desert Rats";"0";;;;;;;;;;
"WWII Tank Commander";"0";;;;;;;;;;
"WWII Normandy";"0";;;;;;;;;;
"WWII Iwo Jima";"0";;;;;;;;;;
"WWII GI";"0";;;;;;;;;;
"WWII Fighters";"0";;;;;;;;;;
"WWII Battle Tanks: T-34 vs. Tiger";"0";;;;;;;;;;
"WWI: The Great War";"0";;;;;;;;;;
"WWF With Authority!";"0";;;;;;;;;;
"WWF In Your House";"0";;;;;;;;;;
"WWE Raw";"0";;;;;;;;;;
"WW2: Time of Wrath";"0";;;;;;;;;;
"WW2 Pacific Heroes";"0";;;;;;;;;;
"Wu Hing: The Five Elements";"0";;;;;;;;;;
"WTCC 2010";"0";;;;;;;;;;
"Wrestling Spirit 2";"0";;;;;;;;;;
"Wrestling Spirit";"0";;;;;;;;;;
"Wrestling Revolution";"0";;;;;;;;;;
"Wrestling MPire";"0";;;;;;;;;;
"Wreckfest";"0";;;;;;;;;;
"WRC Powerslide";"0";;;;;;;;;;
"WRC 6: World Rally Championship";"2";"WRC 6 FIA World Rally Championship";"WRC 5 FIA World Rally Championship";;;;;;;;
"WRC 5";"0";;;;;;;;;;
"WRC 3: FIA World Rally Championship";"2";"WRC 5 FIA World Rally Championship";"WRC 6 FIA World Rally Championship";;;;;;;;
"WRC 2: FIA World Rally Championship 2011";"2";"WRC 5 FIA World Rally Championship";"WRC 6 FIA World Rally Championship";;;;;;;;
"Wrath of Athena";"0";;;;;;;;;;
"Wrapple";"0";;;;;;;;;;
"Worst Case Scenario";"0";;;;;;;;;;
"Worms World Party";"0";;;;;;;;;;
"Worms Triple Pack";"0";;;;;;;;;;
"Worms Revolution: Medieval Tales Pack";"0";;;;;;;;;;
"Worms Revolution: Mars Pack";"0";;;;;;;;;;
"Worms Revolution: Funfair";"0";;;;;;;;;;
"Worms Reloaded: Time Attack Pack";"0";;;;;;;;;;
"Worms Reloaded: Retro Pack";"0";;;;;;;;;;
"Worms Reloaded: Puzzle Pack";"0";;;;;;;;;;
"Worms Reloaded: Forts Pack";"0";;;;;;;;;;
"Worms Forts: Under Siege";"0";;;;;;;;;;
"Worms Crazy Golf: Carnival Course";"0";;;;;;;;;;
"Worms 4: Mayhem";"0";;;;;;;;;;
"Worms 3D";"0";;;;;;;;;;
