"Metacritic";"VariantCount";"Steam1";"Steam2";"Steam3";"Steam4";"Steam5";"Steam6";"Steam7";"Steam8";"Steam9";"Steam10"
"The Lord of the Rings: The Battle for Middle-Earth";"0";;;;;;;;;;
"The Lord of the Rings: Conquest";"1";"The Lord of the Rings Online™";;;;;;;;;
"The Lord of the Rings Online: Siege of Mirkwood";"1";"The Lord of the Rings Online™";;;;;;;;;
"The Lord of the Rings Online: Shadows of Angmar";"1";"The Lord of the Rings Online™";;;;;;;;;
"The Lord of the Rings Online: Rise of Isengard";"1";"The Lord of the Rings Online™";;;;;;;;;
"The Lord of the Rings Online: Riders of Rohan";"1";"The Lord of the Rings Online™";;;;;;;;;
"The Lord of the Rings Online: Mithril Edition";"1";"The Lord of the Rings Online™";;;;;;;;;
"The Lord of the Rings Online: Mines of Moria";"1";"The Lord of the Rings Online™";;;;;;;;;
"The Lord of the Rings Online: Lost Legends of Eriador";"0";;;;;;;;;;
"The Lord of the Rings Online: Helm's Deep";"1";"The Lord of the Rings Online™";;;;;;;;;
"The Lord of the Rings Online: Echoes of the Dead";"0";;;;;;;;;;
"The Lord of the Rings Online: Armies of Isengard";"0";;;;;;;;;;
"The Lord of the Rings Online: Against the Shadow";"0";;;;;;;;;;
"The LootCastle";"0";;;;;;;;;;
"The Loner";"0";;;;;;;;;;
"The Lion's Song: Episode 2 - Anthology";"0";;;;;;;;;;
"The Lion's Song";"0";;;;;;;;;;
"The LEGO Movie Videogame";"1";"The LEGO® Movie - Videogame";;;;;;;;;
"The Legends of Owlia";"1";"The Legend of Korra™";;;;;;;;;
"The Legend of Vraz";"1";"The Legend of Korra™";;;;;;;;;
"The Legend of The Artifact";"1";"The Legend of Korra™";;;;;;;;;
"The Legend of Korra";"1";"The Legend of Korra™";;;;;;;;;
"The Legend of Hiraku";"1";"The Legend of Korra™";;;;;;;;;
"The Legend of Dark Witch 2";"1";"The Legend of Dark Witch 2 （魔神少女エピソード２）";;;;;;;;;
"The Legend of Crystal Valley";"0";;;;;;;;;;
"The Legend of Ares";"1";"The Legend of Korra™";;;;;;;;;
"The Legacy: Forgotten Gates";"0";;;;;;;;;;
"The Last Will of a Puppet Master";"0";;;;;;;;;;
"The Last Tinker: City of Colors";"1";"The Last Tinker™: City of Colors";;;;;;;;;
"The Last Sunshine";"0";;;;;;;;;;
"The Last Remnant";"2";"The Last Remnant™";"The Last Leviathan";;;;;;;;
"The Last Patient";"2";"The Last Remnant™";"The Last Leviathan";;;;;;;;
"The Last NightMary - A Lenda do Cabeca de Cuia";"1";"The Last NightMary - A Lenda do Cabeça de Cuia";;;;;;;;;
"The Last Look";"2";"The Lost Crown";"The Next Door";;;;;;;;
"The Last Light";"1";"The Last Leviathan";;;;;;;;;
"The Last Express";"0";;;;;;;;;;
"The Last Door: Season 2";"1";"The Walking Dead: Season 2";;;;;;;;;
"The Last Door: Chapter 3 - The Four Witnesses";"0";;;;;;;;;;
"The Last Door: Chapter 2 - Memories";"0";;;;;;;;;;
"The Last Door: Chapter 1 - The Letter";"0";;;;;;;;;;
"The Last Door";"2";"The Next Door";"The Lost Crown";;;;;;;;
"The Last Dogma";"0";;;;;;;;;;
"The Last Cargo";"1";"The Lost Crown";;;;;;;;;
"The Last";"1";"The Nest";;;;;;;;;
"The Laserback Prototype";"0";;;;;;;;;;
"The Land Before Time: Toddler Time";"0";;;;;;;;;;
"The Land Before Time: Prehistoric Adventures";"0";;;;;;;;;;
"The Land Before Time: Dinosaur Arcade";"0";;;;;;;;;;
"The Lake House: Children of Silence";"0";;;;;;;;;;
"The Kite";"3";"The Hive";"The Isle";"The Dig®";;;;;;;
"The Kings' Crusade: Teutonic Knights";"0";;;;;;;;;;
"The Kings' Crusade: Arabian Nights";"0";;;;;;;;;;
"The Kings of the Dark Age";"1";"The I of the Dragon";;;;;;;;;
"The Kingman Project";"0";;;;;;;;;;
"The King's Heroes";"0";;;;;;;;;;
"The Journeyman Project 3: Legacy of Time";"0";;;;;;;;;;
"The Journey Of Forgotten Memories";"0";;;;;;;;;;
"The Journey Down, Chapter 1";"1";"The Journey Down: Chapter One";;;;;;;;;
"The Jolly Gang's Spooky Adventure";"0";;;;;;;;;;
"The Jigsaw Puzzle Room";"0";;;;;;;;;;
"The Jewel Quest Pack";"4";"Jewel Quest Pack";"Jewel Quest Pack";"Jewel Quest Pack";"Jewel Quest Pack";;;;;;
"The Janitor";"0";;;;;;;;;;
"The Italian Job";"0";;;;;;;;;;
"The Inverted Evolution";"0";;;;;;;;;;
"The Interstate '76 Arsenal";"0";;;;;;;;;;
"The Interactive Adventures of Dog Mendonca and Pizzaboy";"1";"The Interactive Adventures of Dog Mendonça & Pizzaboy®";;;;;;;;;
"The Inheritance - A Scott Adams Bible Adventure Game";"0";;;;;;;;;;
"The Ingenious Machine: New and Improved Edition";"0";;;;;;;;;;
"The Incredibles: When Danger Calls";"0";;;;;;;;;;
"The Incredibles: Rise of the Underminer";"0";;;;;;;;;;
"The Incredibles";"0";;;;;;;;;;
"The Incredible Machine: Even More Contraptions";"0";;;;;;;;;;
"The Incredible Hulk";"0";;;;;;;;;;
"The Incredible Adventures of Van Helsing II: Ink Hunt";"0";;;;;;;;;;
"The Immortals of Terra: A Perry Rhodan Adventure";"0";;;;;;;;;;
"The Idiot";"1";"The Dig®";;;;;;;;;
"The Huntsman: Winter's Curse - Book 5";"0";;;;;;;;;;
"The Huntsman: Winter's Curse - Book 4";"0";;;;;;;;;;
"The Huntsman: Winter's Curse - Book 3";"0";;;;;;;;;;
"The Huntsman: Winter's Curse - Book 2";"0";;;;;;;;;;
"The Huntsman: Winter's Curse - Book 1";"0";;;;;;;;;;
"The Hunger Games Adventures";"0";;;;;;;;;;
"The Host Holic";"0";;;;;;;;;;
"The Horror at MS Aurora";"0";;;;;;;;;;
"The Holiday Express";"0";;;;;;;;;;
"The Hobbit";"0";;;;;;;;;;
"The Hive (2016)";"0";;;;;;;;;;
"The History Channel: Lost Worlds";"0";;;;;;;;;;
"The History Channel: Great Battles of Rome";"0";;;;;;;;;;
"The History Channel: Civil War - Secret Missions";"0";;;;;;;;;;
"The History Channel: Civil War - Great Battles";"0";;;;;;;;;;
"The History Channel: Civil War - A Nation Divided";"0";;;;;;;;;;
"The History Channel: Battle of Britain: World War II 1940";"0";;;;;;;;;;
"The History Channel: Battle for the Pacific";"0";;;;;;;;;;
"The HinterLands";"0";;;;;;;;;;
"The Hidden Object Show: Season 2";"0";;;;;;;;;;
"The Hidden Object Show";"0";;;;;;;;;;
"The Haunted: Hell's Reach";"1";"The Haunted: Hells Reach";;;;;;;;;
"The Hateful Dead";"1";"The Walking Dead";;;;;;;;;
"The Harvest";"3";"The Nest";"The Hive";"The 7th Guest";;;;;;;
"The Hardy Boys: The Perfect Crime";"0";;;;;;;;;;
"The Hardy Boys: The Hidden Theft";"0";;;;;;;;;;
"The Han Dynasty Imperial Mausoleums";"0";;;;;;;;;;
"The Guy Game";"0";;;;;;;;;;
"The Guilt and the Shadow";"0";;;;;;;;;;
"The Guild Universe";"1";"The Guild II";;;;;;;;;
"The Guild 2: Venice";"2";"The Guild II Renaissance";"The Guild II";;;;;;;;
"The Guild 2: Renaissance";"1";"The Guild II Renaissance";;;;;;;;;
"The Guild 2: Pirates of the High Seas";"1";"The Guild II - Pirates of the European Seas";;;;;;;;;
"The Guild 2";"1";"The Guild II";;;;;;;;;
"The guard of dungeon";"0";;;;;;;;;;
"The Groundskeeper";"0";;;;;;;;;;
"The Grinch";"0";;;;;;;;;;
"The Grey Man";"0";;;;;;;;;;
"The Great Work";"0";;;;;;;;;;
"The Great White Destroyer";"1";"The Great Whale Road";;;;;;;;;
"The Great Wall of Words";"1";"The Great Whale Road";;;;;;;;;
"The Great Tree";"0";;;;;;;;;;
"The Great Story of a Mighty Hero";"0";;;;;;;;;;
"The Great Escape (2003)";"0";;;;;;;;;;
"The Great Chocolate Chase: A Chocolatier Twist";"0";;;;;;;;;;
"The Golf Pro";"0";;;;;;;;;;
"The Golf Club (Collector's Edition)";"2";"The Last Door - Collector's Edition";"Hotel Collectors Edition";;;;;;;;
"The Golden Horde";"0";;;;;;;;;;
"The Golden Compass";"0";;;;;;;;;;
"The Godfather II";"0";;;;;;;;;;
"The Godfather";"0";;;;;;;;;;
"The Goalkeeper";"0";;;;;;;;;;
"The Gladiators: The Galactic Circus Games";"0";;;;;;;;;;
"The Gift";"3";"The Dig®";"The Nest";"The Hive";;;;;;;
"The Gem Collector";"0";;;;;;;;;;
"The Gate of Firmament";"2";"軒轅劍外傳穹之扉(The Gate of Firmament)";"The Game of Life";;;;;;;;
"The Garden";"0";;;;;;;;;;
"The Game of Life: SpongeBob SquarePants Edition";"0";;;;;;;;;;
"The Game of Life: Path to Success";"0";;;;;;;;;;
"The Game of Life (2013)";"1";"The Game of Life";;;;;;;;;
"The Game of Life (1998)";"1";"The Game of Life";;;;;;;;;
"The Frontier";"0";;;;;;;;;;
"The Forgotten Forest";"0";;;;;;;;;;
"The Forgotten";"0";;;;;;;;;;
"The Fool and His Money";"0";;;;;;;;;;
"The Fool";"0";;;;;;;;;;
"The Fog";"1";"The Dig®";;;;;;;;;
"The Flower Shop: Winter In Fairbrook";"2";"Flower Shop: Winter In Fairbrook";"Flower Shop: Summer In Fairbrook";;;;;;;;
"The Flower Shop: Summer In Fairbrook";"2";"Flower Shop: Summer In Fairbrook";"Flower Shop: Winter In Fairbrook";;;;;;;;
"The Five Cores";"0";;;;;;;;;;
"The Fishing Club 3D";"0";;;;;;;;;;
"The First Templar";"0";;;;;;;;;;
"The Final Specimen: Arrival";"0";;;;;;;;;;
"The Final Days: I'm Still Alive";"0";;;;;;;;;;
"The Filmmaker: A Text Adventure";"0";;;;;;;;;;
"The Fifth Expedition";"1";"The Curious Expedition";;;;;;;;;
"The Fifth Disciple";"1";"The Fifth Day";;;;;;;;;
"The Fantabulous Adventures of Hedgehog Holmes";"0";;;;;;;;;;
"The Falklands War: 1982";"0";;;;;;;;;;
"The Fairly OddParents! Shadow Showdown";"0";;;;;;;;;;
"The Fairly OddParents! Breakin' Da Rules";"0";;;;;;;;;;
"The Facility";"0";;;;;;;;;;
"The Experiment";"0";;;;;;;;;;
"The Expendabros - Broforce: The Expendables Missions";"0";;;;;;;;;;
"The Expendables 2 Videogame";"0";;;;;;;;;;
"The eXceed Collection";"2";"Westward Collection";"Westward Collection";;;;;;;;
"The Evil Within: The Executioner";"0";;;;;;;;;;
"The Evil Within: The Consequence";"0";;;;;;;;;;
"The Evil Within: The Assignment";"0";;;;;;;;;;
"The Escapists - Alcatraz";"0";;;;;;;;;;
"The Equestrian";"1";"The Pedestrian";;;;;;;;;
"The End of an Age: Fading Remnants";"0";;;;;;;;;;
"The Empty Inn";"0";;;;;;;;;;
"The Emperor's Treasures";"0";;;;;;;;;;
"The Ember Series: A New Fire";"0";;;;;;;;;;
"The Electric Shocktopus";"0";;;;;;;;;;
"The Elder Scrolls: Chapter II - Daggerfall";"0";;;;;;;;;;
"The Elder Scrolls V: Skyrim - Hearthfire";"0";;;;;;;;;;
"The Elder Scrolls V: Skyrim - Dragonborn";"0";;;;;;;;;;
"The Elder Scrolls V: Skyrim - Dawnguard";"0";;;;;;;;;;
"The Elder Scrolls Online: Tamriel Unlimited - Thieves Guild";"1";"The Elder Scrolls® Online: Tamriel Unlimited™";;;;;;;;;
"The Elder Scrolls Online: Tamriel Unlimited - The Imperial City";"1";"The Elder Scrolls® Online: Tamriel Unlimited™";;;;;;;;;
"The Elder Scrolls Online: Tamriel Unlimited - Orsinium";"1";"The Elder Scrolls® Online: Tamriel Unlimited™";;;;;;;;;
"The Elder Scrolls Online: Tamriel Unlimited";"1";"The Elder Scrolls® Online: Tamriel Unlimited™";;;;;;;;;
"The Elder Scrolls Online: Gold Edition";"1";"The Elder Scrolls® Online: Tamriel Unlimited™";;;;;;;;;
"The Elder Scrolls Online: Dark Brotherhood";"1";"The Elder Scrolls® Online: Tamriel Unlimited™";;;;;;;;;
"The Elder Scrolls Online";"0";;;;;;;;;;
"The Elder Scrolls Legends";"0";;;;;;;;;;
"The Elder Scrolls IV: Shivering Isles";"0";;;;;;;;;;
"The Elder Scrolls IV: Oblivion - The Wizard's Tower";"1";"The Elder Scrolls IV: Oblivion® Game of the Year Edition";;;;;;;;;
"The Elder Scrolls IV: Oblivion - The Vile Lair";"1";"The Elder Scrolls IV: Oblivion® Game of the Year Edition";;;;;;;;;
"The Elder Scrolls IV: Oblivion - The Thieves Den";"1";"The Elder Scrolls IV: Oblivion® Game of the Year Edition";;;;;;;;;
"The Elder Scrolls IV: Oblivion - The Orrery";"1";"The Elder Scrolls IV: Oblivion® Game of the Year Edition";;;;;;;;;
"The Elder Scrolls IV: Oblivion - The Fighter's Stronghold";"1";"The Elder Scrolls IV: Oblivion® Game of the Year Edition";;;;;;;;;
"The Elder Scrolls IV: Oblivion - Mehrunes' Razor";"1";"The Elder Scrolls IV: Oblivion® Game of the Year Edition";;;;;;;;;
"The Elder Scrolls IV: Oblivion - Game of the Year Edition";"2";"The Elder Scrolls IV: Oblivion® Game of the Year Edition";"The Elder Scrolls III: Morrowind® Game of the Year Edition";;;;;;;;
"The Elder Scrolls IV: Oblivion";"0";;;;;;;;;;
"The Elder Scrolls IV: Knights of the Nine";"0";;;;;;;;;;
"The Elder Scrolls III: Tribunal";"0";;;;;;;;;;
"The Elder Scrolls III: Morrowind - Game of the Year Edition";"2";"The Elder Scrolls III: Morrowind® Game of the Year Edition";"The Elder Scrolls IV: Oblivion® Game of the Year Edition";;;;;;;;
"The Elder Scrolls III: Morrowind";"0";;;;;;;;;;
"The Elder Scrolls III: Bloodmoon";"0";;;;;;;;;;
"The Elder Scrolls Anthology";"0";;;;;;;;;;
"The Elder Scrolls Adventures: Redguard";"0";;;;;;;;;;
"The Egyptian Prophecy";"0";;;;;;;;;;
"The Dwarves: Fantasy Simulator";"0";;;;;;;;;;
"The Dukes of Hazzard: Racing for Home";"0";;;;;;;;;;
"The Dreamhold";"1";"The Deer God";;;;;;;;;
"The Dreamatorium of Dr. Magnus";"0";;;;;;;;;;
"The Dream Machine";"0";;;;;;;;;;
"The Dracula Files";"0";;;;;;;;;;
"THE DISHWASHER";"0";;;;;;;;;;
"The Dig";"2";"The Dig®";"The Hive";;;;;;;;
"The Devil Inside";"0";;;;;;;;;;
"The Detail Episode 3 - The Devil in the Detail";"0";;;;;;;;;;
"The Detail Episode 2 - From The Ashes";"0";;;;;;;;;;
"The Detail Episode 1 - Where the Dead Lie";"0";;;;;;;;;;
"The Descendant: Episode 5: Ultimatum";"0";;;;;;;;;;
"The Descendant: Episode 4: Cerberus";"0";;;;;;;;;;
"The Descendant: Episode 3: What Lies Beneath";"0";;;;;;;;;;
"The Descendant: Episode 2: Into the Storm";"0";;;;;;;;;;
"The Descendant: Episode 1 - Aftermath";"0";;;;;;;;;;
"The Decimation of Olarath";"0";;;;;;;;;;
"The Deal";"2";"The Dig®";"The Nest";;;;;;;;
"The Dawn: First War";"0";;;;;;;;;;
"The Dark Within";"0";;;;;;;;;;
"The Dark Hour";"0";;;;;;;;;;
"The Dark Hills of Cherai";"0";;;;;;;;;;
"The Dark Eye: Drakensang";"0";;;;;;;;;;
"The Dark Eye: Demonicon";"0";;;;;;;;;;
"The Dark Eye";"0";;;;;;;;;;
"The Dark Cards";"0";;;;;;;;;;
"The Dame Was Loaded";"0";;;;;;;;;;
"The Dam Busters";"0";;;;;;;;;;
"The Da Vinci Code";"0";;;;;;;;;;
"The Curse of the Werewolves";"0";;;;;;;;;;
"The Curse of the Pharaoh";"0";;;;;;;;;;
"The Curse of Monkey Island";"0";;;;;;;;;;
"The Curse of Issyos";"0";;;;;;;;;;
"The Curio Society: The Thief of Life";"0";;;;;;;;;;
"The Curio Society: New Order";"0";;;;;;;;;;
"The Curio Society: Eclipse Over Mesina";"0";;;;;;;;;;
"The Cube Hotel: Ning's Wing 2";"0";;;;;;;;;;
"The Crystal Skull";"0";;;;;;;;;;
"The Crypts of Anak Shaba VR";"0";;;;;;;;;;
"The Crow's Eye";"0";;;;;;;;;;
"The Crew: Wild Run";"0";;;;;;;;;;
"The Crew: Ultimate Edition";"0";;;;;;;;;;
"The Crew: Calling All Units";"0";;;;;;;;;;
"The Crew";"1";"The Crew™";;;;;;;;;
"The Cows Are Watching";"0";;;;;;;;;;
"The Count of Monte Cristo";"0";;;;;;;;;;
"The Count of Monster Disco";"0";;;;;;;;;;
"The Continuum";"1";"ARC Continuum";;;;;;;;;
"The Contact";"0";;;;;;;;;;
"The Conjurer";"0";;;;;;;;;;
"The Concourse";"0";;;;;;;;;;
"The Command & Conquer Saga";"0";;;;;;;;;;
"The Command & Conquer Collection";"0";;;;;;;;;;
"The Clumsys";"0";;;;;;;;;;
"The ClueFinders: The Incredible Toy Store Adventure";"0";;;;;;;;;;
"The ClueFinders: Mystery Mansion Arcade";"0";;;;;;;;;;
"The ClueFinders Search & Solve Adventures";"0";;;;;;;;;;
"The ClueFinders Reading Adventures: Mystery of the Missing Amulet";"0";;;;;;;;;;
"The ClueFinders Math Adventures: Mystery of the Himalayas";"0";;;;;;;;;;
"The ClueFinders 6th Grade Adventures: The Empire of the Plant People";"0";;;;;;;;;;
"The ClueFinders 5th Grade Adventures: Secret of the Living Volcano";"0";;;;;;;;;;
"The ClueFinders 4th Grade Adventures: The Puzzle of the Pyramid";"0";;;;;;;;;;
"The ClueFinders 3rd Grade Adventures: Mystery of Mathra";"0";;;;;;;;;;
"The Club";"0";;;;;;;;;;
"The Climb";"1";"The Culling";;;;;;;;;
"The Cleansing Tide";"0";;;;;;;;;;
"The City of Lost Children";"0";;;;;;;;;;
"The Chronicles of Spellborn";"0";;;;;;;;;;
"The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut";"0";;;;;;;;;;
"The Chronicles of Riddick: Assault on Dark Athena";"0";;;;;;;;;;
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe";"0";;;;;;;;;;
"The Chronicles of Narnia: Prince Caspian";"0";;;;;;;;;;
"The Chronicles of Emerland";"2";"The chronicles of Emerland. Solitaire.";"Lost Chronicles of Zerzura";;;;;;;;
"The Chosen - Well of Souls";"0";;;;;;;;;;
"The Chosen";"0";;;;;;;;;;
"The Chase";"1";"The Hive";;;;;;;;;
"The Charged Circle";"0";;;;;;;;;;
"The Chaos Engine (2013)";"0";;;;;;;;;;
"The Challenge";"2";"The Culling";"Chip's Challenge 1";;;;;;;;
"The Caretaker: Dungeon Nightshift";"0";;;;;;;;;;
"The Cameron Files: Pharaoh's Curse";"0";;;;;;;;;;
"The Butterfly Sign: Human Error";"0";;;;;;;;;;
"The Broken Land";"0";;;;;;;;;;
"The Briefcase";"0";;;;;;;;;;
"The Brave Furries";"0";;;;;;;;;;
"The BoX";"0";;;;;;;;;;
"The Bounty";"0";;;;;;;;;;
"The Book of Unwritten Tales: Critter Chronicles";"1";"The Book of Unwritten Tales: The Critter Chronicles";;;;;;;;;
"The book of commands: Lost Symbol";"0";;;;;;;;;;
"The Body VR";"1";"The Body Changer";;;;;;;;;
"The Blackwell Trilogy: Remastered";"0";;;;;;;;;;
"The Blackwell Epiphany";"1";"Blackwell Epiphany";;;;;;;;;
"The Blackwell Deception";"1";"Blackwell Deception";;;;;;;;;
"The Blackwell Convergence";"1";"Blackwell Convergence";;;;;;;;;
"The Black Mirror";"2";"Black Mirror";"The Black Death";;;;;;;;
"The Black Heart";"2";"The Black Death";"The Shape Of Heart";;;;;;;;
"The Bits That Saved The Universe";"0";;;;;;;;;;
"The Binding of Isaac: The Wrath of the Lamb";"0";;;;;;;;;;
"The Binding of Isaac: Afterbirth +";"0";;;;;;;;;;
"The Binding of Isaac: Afterbirth";"0";;;;;;;;;;
"The Berenstain Bears in the Dark";"0";;;;;;;;;;
"The Bellows";"0";;;;;;;;;;
"The Bedtime Story";"0";;;;;;;;;;
"The Beast Within: A Gabriel Knight Mystery";"1";"The Beast Within: A Gabriel Knight® Mystery";;;;;;;;;
"The Beast of Lycan Isle";"0";;;;;;;;;;
"The Beard in the Mirror";"0";;;;;;;;;;
"The Battles of King Arthur";"0";;;;;;;;;;
"The Battle of Bull Run: Take Command 1861";"0";;;;;;;;;;
"The Barbie Diaries: High School Mystery";"0";;;;;;;;;;
"The Barbarian and the Subterranean Caves";"0";;;;;;;;;;
"The Banished";"0";;;;;;;;;;
"The Baldur's Gate Collection";"0";;;;;;;;;;
"The Baldur's Gate Collection";"0";;;;;;;;;;
"The Bad, The Ugly, and the Sober";"0";;;;;;;;;;
"The Axys Adventures: Truth Seeker";"0";;;;;;;;;;
"The Atlas: Legend Pack";"0";;;;;;;;;;
"The Asskickers";"0";;;;;;;;;;
"The Artist";"1";"Arcade Artist";;;;;;;;;
"The Artifact of Gods: Resurrection";"0";;;;;;;;;;
"The Artful Escape of Francis Vendetti";"0";;;;;;;;;;
"The Arrival";"0";;;;;;;;;;
"The Ardennes Offensive";"0";;;;;;;;;;
"The Apprentice: Los Angeles";"0";;;;;;;;;;
"The Apprentice";"0";;;;;;;;;;
"The Apocalyptic Game About Penguins";"0";;;;;;;;;;
"The Ant Bully";"0";;;;;;;;;;
"The Animal Detectives";"0";;;;;;;;;;
"The Amazing Virtual Sea-Monkeys";"0";;;;;;;;;;
"The Amazing Spider-Man 2";"0";;;;;;;;;;
"The Amazing Spider-Man - Stan Lee Adventure Pack";"0";;;;;;;;;;
"The Amazing Spider-Man - Rhino Challenge Pack";"0";;;;;;;;;;
"The Amazing Spider-Man - Oscorp Search & Destroy Pack";"0";;;;;;;;;;
"The Amazing Spider-Man - Lizard Rampage Pack";"0";;;;;;;;;;
"The Amazing Spider-Man";"0";;;;;;;;;;
"The Amazing Brain Train";"0";;;;;;;;;;
"The Amazing Adventures of Ash - Afterparty";"0";;;;;;;;;;
"The Alien Wasteland";"0";;;;;;;;;;
"The Agency of Anomalies: Mystic Hospital";"1";"The Agency of Anomalies: Mystic Hospital Collector's Edition";;;;;;;;;
"The Agency of Anomalies: Cinderstone Orphanage";"0";;;;;;;;;;
"The Aetherlight: Chronicles of Resistance";"0";;;;;;;;;;
"The Adventures of Tintin: The Game";"0";;;;;;;;;;
"The Adventures of Shuggy";"1";"Adventures of Shuggy";;;;;;;;;
"The Adventures of Fei Duanmu";"1";"The Adventures of Fei Duanmu 端木斐异闻录";;;;;;;;;
"The Addams Family";"0";;;;;;;;;;
"The Abbot's Book";"0";;;;;;;;;;
"The 80's Game with Martha Quinn";"0";;;;;;;;;;
"The 3D Gamemaker";"0";;;;;;;;;;
"The 100th Word";"0";;;;;;;;;;
"The 'Mech Collection";"3";"Cake Mania Collection";"Cake Mania Collection";"Space Quest™ Collection";;;;;;;
"The $100,000 Pyramid";"0";;;;;;;;;;
"The  Legend of Alfur";"1";"The Legend of Korra™";;;;;;;;;
"Thayer's Quest";"0";;;;;;;;;;
"Thandor: The Invasion";"0";;;;;;;;;;
"Thanatos: a Winterwitch Tale";"0";;;;;;;;;;
"TFX";"0";;;;;;;;;;
"Text Twist 2";"0";;;;;;;;;;
"Texas Cheat 'Em";"0";;;;;;;;;;
"Tex Atomic's Big Bot Battles";"0";;;;;;;;;;
"Tetris Worlds";"1";"LEGO® Worlds";;;;;;;;;
"Tetris Ultimate";"2";"Tetris® Ultimate";"Rytmik Ultimate";;;;;;;;
"Tetris Elements";"0";;;;;;;;;;
"Tetraminos";"0";;;;;;;;;;
"Tetra Master";"0";;;;;;;;;;
"test_product";"0";;;;;;;;;;
"Test Drive: Off-Road 3";"0";;;;;;;;;;
"Test Drive: Off-Road 2";"0";;;;;;;;;;
"Test Drive Unlimited 2: Casino Online";"0";;;;;;;;;;
"Test Drive Unlimited";"0";;;;;;;;;;
"Test Drive Le Mans";"0";;;;;;;;;;
"Test Drive 6";"0";;;;;;;;;;
"Test Drive 5";"0";;;;;;;;;;
"Test Drive";"0";;;;;;;;;;
"Tessallation";"0";;;;;;;;;;
"Tesla: The Weather Man";"0";;;;;;;;;;
"Tesla VR";"0";;;;;;;;;;
"Terrorist Takedown: War in Columbia";"0";;;;;;;;;;
"Terrorist Takedown 2: US Navy Seals";"0";;;;;;;;;;
"Terrorist Takedown";"0";;;;;;;;;;
"Terror Strike";"1";"Ember Strike";;;;;;;;;
"Terrawars: New York Invasion";"0";;;;;;;;;;
"Terrarium Land";"0";;;;;;;;;;
"Terrance the Flying Eyeball";"0";;;;;;;;;;
"Terracide";"0";;;;;;;;;;
"Terra Forma";"0";;;;;;;;;;
"Terminus";"0";;;;;;;;;;
"Terminator Salvation";"0";;;;;;;;;;
"Terminator 3: War of the Machines";"0";;;;;;;;;;
"Teratini VR";"0";;;;;;;;;;
"TERA: Rising";"0";;;;;;;;;;
"TERA: Fate of Arun";"0";;;;;;;;;;
"TEOT - The End OF Tomorrow";"0";;;;;;;;;;
"Tennis Titans";"0";;;;;;;;;;
"Tennis Masters Series 2003";"0";;;;;;;;;;
"Tennis Masters Series";"0";;;;;;;;;;
"Tennis Elbow Manager";"0";;;;;;;;;;
"Tenebris";"0";;;;;;;;;;
"Temujin: The Capricorn Collection";"0";;;;;;;;;;
"Temporal Shift";"0";;;;;;;;;;
"Temple of the Abyssal Winds";"0";;;;;;;;;;
"Tempest (2015)";"0";;;;;;;;;;
"Temper Tantrum";"0";;;;;;;;;;
"Teletrooper";"0";;;;;;;;;;
"Telepath RPG: Servants of God";"0";;;;;;;;;;
"Telepath Psy Arena 2";"0";;;;;;;;;;
"Teleglitch";"0";;;;;;;;;;
"Teeth";"0";;;;;;;;;;
"Teenage Mutant Ninja Turtles: Out of the Shadows";"0";;;;;;;;;;
"Teenage Mutant Ninja Turtles: Mutants in Manhattan";"0";;;;;;;;;;
"Teenage Mutant Ninja Turtles 2: Battle Nexus";"0";;;;;;;;;;
"Teenage Mutant Ninja Turtles (2003)";"0";;;;;;;;;;
"Tee Off Madness - Minigolf With Attitude";"0";;;;;;;;;;
"Teddy Factory";"1";"Dream Factory";;;;;;;;;
"Ted the Jumper";"0";;;;;;;;;;
"Technoball";"0";;;;;;;;;;
"Techno Dash";"0";;;;;;;;;;
"Tears Revolude";"0";;;;;;;;;;
"Team DK BMX";"0";;;;;;;;;;
"Team Apache";"0";;;;;;;;;;
"Tea Party Simulator 2015";"1";"Tea Party Simulator 2015™";;;;;;;;;
"Taz Wanted";"0";;;;;;;;;;
"Tayutama 2: You're the only one";"1";"遊魂2 -you're the only one-";;;;;;;;;
"Taxi!";"0";;;;;;;;;;
"Taxi 3: eXtreme Rush";"0";;;;;;;;;;
"Tarr Chronicles";"1";"Valkyria Chronicles™";;;;;;;;;
"Target: Pheromone";"0";;;;;;;;;;
"TankYou!";"0";;;;;;;;;;
"TankyON";"0";;;;;;;;;;
"Tankya's Adventure - The Curse of Zoltar";"0";;;;;;;;;;
"Tanktics";"0";;;;;;;;;;
"Tankr";"0";;;;;;;;;;
"Tanki X";"0";;;;;;;;;;
"TankCraft";"0";;;;;;;;;;
"TANK@WAR";"0";;;;;;;;;;
"Tank Universal: Challenger Eight";"0";;;;;;;;;;
"Tank Universal 2";"1";"Tank Universal";;;;;;;;;
"Tank Tread";"0";;;;;;;;;;
"Tank Hero VR";"0";;;;;;;;;;
"Tank Defense Division";"0";;;;;;;;;;
"Tank Battle: Blitzkrieg";"0";;;;;;;;;;
"Tank Battle: 1945";"0";;;;;;;;;;
"Tank (1970)";"0";;;;;;;;;;
"Tanarus";"1";"Lazarus";;;;;;;;;
"Talisman: Digital Edition - The Reaper Expansion";"0";;;;;;;;;;
"Talisman: Digital Edition - The Frostmarch Expansion";"0";;;;;;;;;;
"Talisman: Digital Edition - Character Pack #6: Gambler";"0";;;;;;;;;;
